Model,Value,Scenario,Dataset,Row Type
RF,0.381696,Unbalanced with Gender,DN,Accuracy
SVM,0.39755,Unbalanced with Gender,DN,Accuracy
GB,0.430699,Unbalanced with Gender,DN,Accuracy
XGB,0.428297,Unbalanced with Gender,DN,Accuracy
RF,0.382897,Unbalanced without Gender,DN,Accuracy
SVM,0.39719,Unbalanced without Gender,DN,Accuracy
GB,0.43154,Unbalanced without Gender,DN,Accuracy
XGB,0.429618,Unbalanced without Gender,DN,Accuracy
RF,0.386989,Balanced with Gender,DN,Accuracy
SVM,0.392271,Balanced with Gender,DN,Accuracy
GB,0.426745,Balanced with Gender,DN,Accuracy
XGB,0.422018,Balanced with Gender,DN,Accuracy
RF,0.758308,Unbalanced with Gender,DNC,Accuracy
SVM,0.577039,Unbalanced with Gender,DNC,Accuracy
GB,0.746224,Unbalanced with Gender,DNC,Accuracy
XGB,0.746224,Unbalanced with Gender,DNC,Accuracy
RF,0.725076,Unbalanced without Gender,DNC,Accuracy
SVM,0.586103,Unbalanced without Gender,DNC,Accuracy
GB,0.758308,Unbalanced without Gender,DNC,Accuracy
XGB,0.755287,Unbalanced without Gender,DNC,Accuracy
RF,0.690909,Balanced with Gender,DNC,Accuracy
SVM,0.545455,Balanced with Gender,DNC,Accuracy
GB,0.781818,Balanced with Gender,DNC,Accuracy
XGB,0.745455,Balanced with Gender,DNC,Accuracy
RF,0.66255,Unbalanced with Gender,DUS,Accuracy
SVM,0.63786,Unbalanced with Gender,DUS,Accuracy
GB,0.654321,Unbalanced with Gender,DUS,Accuracy
XGB,0.662551,Unbalanced with Gender,DUS,Accuracy
RF,0.64198,Unbalanced without Gender,DUS,Accuracy
SVM,0.646091,Unbalanced without Gender,DUS,Accuracy
GB,0.654321,Unbalanced without Gender,DUS,Accuracy
XGB,0.670782,Unbalanced without Gender,DUS,Accuracy
RF,0.66197,Balanced with Gender,DUS,Accuracy
SVM,0.56338,Balanced with Gender,DUS,Accuracy
GB,0.774648,Balanced with Gender,DUS,Accuracy
XGB,0.690141,Balanced with Gender,DUS,Accuracy
RF,0.65,Unbalanced with Gender,DN,AUC_ROC
SVM,0.66,Unbalanced with Gender,DN,AUC_ROC
GB,0.7,Unbalanced with Gender,DN,AUC_ROC
XGB,0.7,Unbalanced with Gender,DN,AUC_ROC
RF,0.65,Unbalanced without Gender,DN,AUC_ROC
SVM,0.66,Unbalanced without Gender,DN,AUC_ROC
GB,0.7,Unbalanced without Gender,DN,AUC_ROC
XGB,0.7,Unbalanced without Gender,DN,AUC_ROC
RF,0.65,Balanced with Gender,DN,AUC_ROC
SVM,0.67,Balanced with Gender,DN,AUC_ROC
GB,0.7,Balanced with Gender,DN,AUC_ROC
XGB,0.69,Balanced with Gender,DN,AUC_ROC
RF,0.94,Unbalanced with Gender,DNC,AUC_ROC
SVM,0.83,Unbalanced with Gender,DNC,AUC_ROC
GB,0.93,Unbalanced with Gender,DNC,AUC_ROC
XGB,0.93,Unbalanced with Gender,DNC,AUC_ROC
RF,0.93,Unbalanced without Gender,DNC,AUC_ROC
SVM,0.83,Unbalanced without Gender,DNC,AUC_ROC
GB,0.94,Unbalanced without Gender,DNC,AUC_ROC
XGB,0.94,Unbalanced without Gender,DNC,AUC_ROC
RF,0.89,Balanced with Gender,DNC,AUC_ROC
SVM,0.77,Balanced with Gender,DNC,AUC_ROC
GB,0.9,Balanced with Gender,DNC,AUC_ROC
XGB,0.9,Balanced with Gender,DNC,AUC_ROC
RF,0.89,Unbalanced with Gender,DUS,AUC_ROC
SVM,0.85,Unbalanced with Gender,DUS,AUC_ROC
GB,0.88,Unbalanced with Gender,DUS,AUC_ROC
XGB,0.88,Unbalanced with Gender,DUS,AUC_ROC
RF,0.88,Unbalanced without Gender,DUS,AUC_ROC
SVM,0.85,Unbalanced without Gender,DUS,AUC_ROC
GB,0.89,Unbalanced without Gender,DUS,AUC_ROC
XGB,0.88,Unbalanced without Gender,DUS,AUC_ROC
RF,0.89,Balanced with Gender,DUS,AUC_ROC
SVM,0.79,Balanced with Gender,DUS,AUC_ROC
GB,0.91,Balanced with Gender,DUS,AUC_ROC
XGB,0.87,Balanced with Gender,DUS,AUC_ROC
